ID,TARGET,PREDICTION
1,0,0.37753236
3,0,0.37436423
4,0,0.37085268
8,0,0.3774127
10,0,0.37322912
13,0,0.37358654
14,0,0.3774997
18,0,0.3736181
20,0,0.41432855
23,0,0.37085268
25,0,0.37374514
26,0,0.37858635
29,0,0.3793066
31,0,0.37309566
32,0,0.3741231
34,0,0.37806812
36,0,0.4083817
39,0,0.37394074
42,0,0.37354264
43,0,0.37806812
45,0,0.37358654
49,0,0.3774997
51,0,0.37928957
54,0,0.38128883
56,0,0.41432855
60,0,0.37536368
61,0,0.37358654
66,0,0.37898704
68,0,0.37085268
74,0,0.37104204
75,0,0.38184813
77,1,0.42220578
80,0,0.3774818
82,0,0.37174815
83,0,0.37636575
84,0,0.37358654
87,0,0.4236215
88,0,0.38361883
90,0,0.37105003
91,0,0.37085268
92,0,0.4083817
93,0,0.3712383
95,0,0.37085268
101,0,0.3715089
102,0,0.38241798
105,0,0.37358654
106,0,0.37085268
107,0,0.37330672
109,0,0.37108666
111,0,0.3945157
113,0,0.37309566
115,0,0.37108666
118,0,0.41509834
122,0,0.37301424
125,0,0.3736181
127,0,0.37105003
130,0,0.38283926
131,0,0.3739735
132,0,0.3762892
134,0,0.37105003
135,0,0.37361524
136,0,0.37483898
137,0,0.37573704
139,0,0.3739735
140,0,0.37129146
141,0,0.4146231
142,0,0.3742396
143,0,0.37085268
144,0,0.37358654
145,0,0.3819839
146,0,0.37085268
148,0,0.37472183
150,0,0.4046412
151,0,0.37085268
152,0,0.37358654
153,0,0.37309566
154,0,0.41294
155,0,0.37105003
156,0,0.37085268
157,0,0.37085268
159,1,0.37912607
161,0,0.37358654
162,0,0.37991512
163,0,0.37305093
165,0,0.37129146
166,0,0.37358654
169,0,0.3736181
170,0,0.3713281
171,0,0.3953634
172,0,0.3830479
173,0,0.37105003
175,0,0.37105003
176,0,0.3714723
177,0,0.3795905
178,0,0.37085268
179,0,0.3714723
180,0,0.37592134
182,0,0.42644432
183,0,0.37358654
184,0,0.37105003
186,0,0.37085268
188,0,0.3766743
191,0,0.3715089
192,0,0.37085268
193,0,0.37305093
195,0,0.37897506
196,0,0.37872714
199,0,0.3834668
200,0,0.37085268
202,0,0.41432855
203,0,0.421504
204,0,0.37869257
206,0,0.37354264
207,0,0.37305894
209,0,0.37695467
210,0,0.3714723
212,0,0.3830434
213,0,0.37387893
214,0,0.37886173
215,0,0.373937
217,0,0.37394074
218,0,0.37869257
220,1,0.37348807
221,0,0.37394947
222,0,0.37806812
225,0,0.3714723
227,0,0.3712198
228,0,0.38253218
231,0,0.37354264
232,0,0.37443772
233,0,0.37085268
234,0,0.37305093
235,0,0.37358654
236,0,0.38146022
239,0,0.37305093
241,0,0.37309566
242,0,0.37085268
244,0,0.3774997
252,0,0.3836054
253,0,0.37443122
254,0,0.3750531
258,0,0.41487643
259,0,0.37984288
262,0,0.3714723
265,0,0.4086935
266,0,0.37781706
269,0,0.37358654
270,0,0.3734993
271,0,0.3799726
273,0,0.37345135
276,0,0.3793066
279,0,0.37869257
285,0,0.37455547
287,0,0.37503433
288,0,0.37612203
289,0,0.37108666
292,0,0.4236215
294,0,0.41170618
296,0,0.37305093
299,0,0.37105003
301,0,0.37316832
302,0,0.37608945
303,1,0.4215177
306,1,0.41249904
307,0,0.3735486
311,0,0.3734979
314,0,0.37354264
316,0,0.37105003
319,0,0.41724133
320,0,0.37085268
322,0,0.37641576
324,0,0.41288564
332,0,0.37305093
333,0,0.37085268
340,1,0.37085268
342,0,0.3713281
344,0,0.37358654
345,0,0.37358654
347,0,0.37085268
349,0,0.37358654
353,1,0.4083817
354,0,0.37819517
355,0,0.37597004
356,0,0.37354264
359,0,0.37085268
362,0,0.37085268
363,0,0.37751758
369,0,0.37085268
371,1,0.41227242
373,0,0.39399505
374,0,0.41074058
375,0,0.37297046
378,0,0.37687606
382,0,0.37358654
383,0,0.4039881
384,0,0.37806812
387,0,0.37085268
388,0,0.37730554
390,0,0.37085268
394,0,0.37434244
402,0,0.37755245
404,0,0.37085268
407,0,0.37320453
408,0,0.41621128
410,0,0.38317138
412,0,0.42325336
414,0,0.37419587
415,0,0.37305894
416,0,0.3714723
417,0,0.37309566
420,0,0.38305348
421,0,0.37085268
423,0,0.3767584
426,0,0.3759148
428,0,0.37085268
429,0,0.3758884
432,0,0.37085268
433,0,0.37305093
436,0,0.37105003
440,0,0.4083817
441,0,0.37110046
443,0,0.37089726
444,0,0.379118
445,0,0.37394947
447,0,0.37358654
448,0,0.37358654
449,0,0.37085268
453,0,0.37103325
456,0,0.38119522
457,0,0.3953634
458,0,0.37869257
459,0,0.37085268
460,0,0.37085268
461,0,0.38208702
462,0,0.37394947
466,0,0.37378186
469,0,0.37358654
471,0,0.37573704
474,0,0.384564
477,0,0.4025954
478,0,0.37434566
480,0,0.3767663
482,0,0.3736181
485,0,0.37085268
488,0,0.37358654
489,0,0.37085268
490,0,0.37085268
492,0,0.37305093
493,0,0.3788079
496,0,0.37358654
500,0,0.3740006
501,0,0.37129146
502,0,0.37449017
513,0,0.4106176
514,0,0.39892685
515,0,0.37836608
517,0,0.37085268
523,0,0.37085268
527,0,0.37448797
530,1,0.41703427
533,0,0.3871575
535,0,0.37350592
537,0,0.3859852
538,0,0.4146231
543,0,0.37108666
544,0,0.3774997
547,0,0.37085268
548,0,0.37609035
549,1,0.4070377
550,0,0.4146231
551,0,0.4236215
553,0,0.37991512
554,0,0.37085268
555,0,0.37912607
558,0,0.37085268
560,0,0.38299948
561,0,0.37104204
564,0,0.37490943
566,0,0.37354264
567,0,0.37322912
568,0,0.37394947
571,0,0.3774997
572,0,0.37282947
573,0,0.37105003
576,0,0.3714723
577,0,0.37305093
578,0,0.37869257
579,0,0.3736181
580,0,0.37100542
581,0,0.3715089
582,0,0.37085268
583,0,0.37435165
584,0,0.41637594
586,0,0.38103217
587,0,0.37085268
588,0,0.38283926
591,0,0.37301424
596,0,0.37341753
598,0,0.39939192
599,0,0.37847966
600,1,0.40947527
602,0,0.3757946
606,0,0.37869257
609,0,0.37312588
611,0,0.37508982
614,0,0.373749
618,0,0.37108666
622,0,0.37105003
623,0,0.37105003
626,0,0.37862638
627,0,0.37085268
631,1,0.40771088
633,0,0.37731758
635,0,0.37647566
636,0,0.4193195
639,0,0.3901557
640,0,0.37085268
641,0,0.37570992
645,0,0.37358654
647,0,0.37897506
648,0,0.37085268
649,0,0.3774997
650,0,0.37085268
651,0,0.38130638
652,0,0.37085268
653,1,0.4207587
654,0,0.37178752
656,0,0.37472183
657,0,0.3834668
658,0,0.37085268
659,0,0.3713281
661,0,0.37869257
662,0,0.377751
663,0,0.37467748
667,0,0.37104204
668,0,0.37806812
669,1,0.42162195
673,0,0.37851033
674,0,0.40603015
679,0,0.37309566
681,0,0.3711471
682,0,0.37309566
686,0,0.4054015
687,0,0.37085268
688,0,0.3714723
689,0,0.37478703
690,0,0.4083817
692,0,0.377751
694,0,0.37309566
695,0,0.37085268
697,0,0.39633694
701,0,0.37806812
702,0,0.37305093
706,0,0.37309566
708,0,0.37085268
710,0,0.37108666
712,0,0.37365258
714,0,0.3742396
715,0,0.3715089
717,0,0.37085268
718,0,0.37108666
720,0,0.37309566
725,0,0.37367618
726,1,0.3956773
730,0,0.37085268
731,1,0.3799083
732,0,0.3713281
734,0,0.3774997
735,0,0.37085268
737,0,0.37358654
738,0,0.37433758
740,0,0.37443772
741,0,0.37108666
746,0,0.3781834
748,0,0.37490943
753,0,0.37358654
754,0,0.37305093
757,0,0.37394074
758,0,0.37358654
759,0,0.41418284
760,0,0.37912607
761,0,0.37791842
767,0,0.37390405
768,0,0.37309566
771,0,0.37806812
772,0,0.3751961
775,0,0.37322912
782,0,0.37806812
783,0,0.37385926
784,0,0.3738422
785,0,0.37394947
787,0,0.37085268
789,0,0.37085268
790,0,0.37085268
791,0,0.3736181
792,1,0.3774997
793,0,0.37085268
795,0,0.3767216
797,0,0.37766916
798,0,0.37691844
799,0,0.37309566
