ID,TARGET
2,0.37897506
5,0.3798798
6,0.37129146
7,0.37358654
9,0.37103325
11,0.4236215
12,0.3822573
15,0.41621128
16,0.37680313
17,0.37467748
19,0.37687606
21,0.37085268
22,0.3739492
24,0.37085268
27,0.37490943
28,0.37366027
30,0.39545122
33,0.37085268
35,0.37085268
37,0.37504506
38,0.3774997
40,0.41432855
41,0.38314867
44,0.37365258
46,0.39454454
47,0.3736952
48,0.3714723
50,0.37085268
52,0.4120038
53,0.37358654
55,0.3741072
57,0.37108666
58,0.37365195
59,0.37358654
62,0.37869257
63,0.37085268
64,0.37806812
65,0.37573475
67,0.3736181
69,0.3777854
70,0.37085268
71,0.38454068
72,0.37108666
73,0.37105003
76,0.37309566
78,0.37301424
79,0.37483898
81,0.37100542
85,0.37085268
86,0.37085268
89,0.37869257
94,0.3964957
96,0.37085268
97,0.37695065
98,0.37085268
99,0.37827215
100,0.42237246
103,0.3953634
104,0.3715089
108,0.37350592
110,0.3712198
112,0.3789268
114,0.38036898
116,0.37354264
117,0.37276834
119,0.37672177
120,0.37348807
121,0.37085268
123,0.37466276
124,0.37869257
126,0.37085268
128,0.3736181
129,0.3834668
133,0.376983
138,0.37869257
147,0.37573704
149,0.38119167
158,0.3714723
160,0.37085268
164,0.37912607
167,0.37754464
168,0.37374514
174,0.37085268
181,0.37394074
185,0.37806812
187,0.37174815
189,0.37354264
190,0.3823332
194,0.37305093
197,0.38693944
198,0.37381274
201,0.3834668
205,0.37435165
208,0.3999385
211,0.37085268
216,0.3753555
219,0.38136128
223,0.37221956
224,0.3953634
226,0.37358654
229,0.3742396
230,0.37504506
237,0.37480226
238,0.37394947
240,0.38135156
243,0.37085268
245,0.39463174
246,0.42355278
247,0.37108666
248,0.37385768
249,0.37085268
250,0.4223928
251,0.37085268
255,0.38375074
256,0.37815726
257,0.3834668
260,0.4120038
261,0.37115917
263,0.42114794
264,0.41432855
267,0.37435165
268,0.37394074
272,0.37128118
274,0.37354264
275,0.3715089
277,0.42375407
278,0.43745068
280,0.37365258
281,0.37386698
282,0.381986
283,0.3714723
284,0.38970774
286,0.37394947
290,0.37412375
291,0.37869257
293,0.37605238
295,0.37447464
297,0.37085268
298,0.39372543
300,0.37309566
304,0.37616938
305,0.37305093
308,0.37089726
309,0.37085268
310,0.37152046
312,0.37869257
313,0.4140897
315,0.37321323
317,0.3767663
318,0.37610078
321,0.37763992
323,0.39189556
325,0.37354264
326,0.37358654
327,0.37165415
328,0.40759173
329,0.3736181
330,0.3712198
331,0.37394074
334,0.38011155
335,0.37305894
336,0.3834668
337,0.3773654
338,0.3827566
339,0.37358654
341,0.416179
343,0.3826879
346,0.37129146
348,0.37085268
350,0.3932938
351,0.37100542
352,0.37358654
357,0.37990668
358,0.37085268
360,0.37100542
361,0.37358654
364,0.37452906
365,0.3793066
366,0.37597004
367,0.3714723
368,0.37108666
370,0.37085268
372,0.37435165
376,0.37085268
377,0.3712198
379,0.3738126
380,0.37358654
381,0.3978995
385,0.37085268
386,0.37806812
389,0.37806812
391,0.38016224
392,0.37085268
393,0.37129146
395,0.37611336
396,0.37085268
397,0.37108666
398,0.37508982
399,0.3780627
400,0.3713281
401,0.37362248
403,0.37435165
405,0.37912607
406,0.37731758
409,0.37358654
411,0.37508982
413,0.37104204
418,0.37311724
419,0.37358654
422,0.37358654
424,0.419619
425,0.37764522
427,0.37085268
430,0.37089726
431,0.37358654
434,0.37573704
435,0.37806812
437,0.39537662
438,0.37100542
439,0.3953634
442,0.37085268
446,0.37085268
450,0.37692082
451,0.37358654
452,0.3755769
454,0.37105003
455,0.37435165
463,0.37358654
464,0.3714723
465,0.37085268
467,0.4083817
468,0.37741327
470,0.3750531
472,0.40038306
473,0.37358654
475,0.37301424
476,0.37085268
479,0.37358654
481,0.37305093
483,0.37869257
484,0.3797032
486,0.3788079
487,0.37085268
491,0.37687606
494,0.37085268
495,0.37105003
497,0.37430894
498,0.37305093
499,0.37085268
503,0.37573704
504,0.37464035
505,0.3715089
506,0.3755617
507,0.37811804
508,0.39939192
509,0.37605238
510,0.37305093
511,0.38256884
512,0.38045076
516,0.37104204
518,0.37806812
519,0.3734979
520,0.37431493
521,0.37085268
522,0.37316784
524,0.39463174
525,0.37309566
526,0.37085268
528,0.37358654
529,0.3761502
531,0.38375074
532,0.42362145
534,0.38327193
536,0.38202137
539,0.38375083
540,0.37435624
541,0.37085268
542,0.3949651
545,0.37593323
546,0.37085268
552,0.37721512
556,0.37085268
557,0.37085268
559,0.37443772
562,0.3733162
563,0.37370908
565,0.377927
569,0.37085268
570,0.38350385
574,0.37448427
575,0.3715089
585,0.3714723
589,0.37374774
590,0.37772298
592,0.37358654
593,0.37887213
594,0.37305894
595,0.37358654
597,0.37309566
601,0.37106386
603,0.37095812
604,0.37085268
605,0.37869257
607,0.37085268
608,0.37358782
610,0.37381274
612,0.39607772
613,0.3798798
615,0.37115917
616,0.42034075
617,0.37687606
619,0.37593323
620,0.4083817
621,0.3714723
624,0.3750531
625,0.37309566
628,0.37085268
629,0.41319743
630,0.37806812
632,0.40860394
634,0.37105003
637,0.37394947
638,0.3740241
642,0.3759148
643,0.37309566
644,0.38375074
646,0.37085268
655,0.3830205
660,0.37358654
664,0.3750531
665,0.3834668
666,0.37085268
670,0.39915678
671,0.42434835
672,0.37301424
675,0.3712198
676,0.37897506
677,0.37730554
678,0.3726337
680,0.37085268
683,0.4083817
684,0.37358654
685,0.3788079
691,0.3864383
693,0.37105003
696,0.37100542
698,0.37105003
699,0.37358654
700,0.3734899
703,0.37350386
704,0.37477437
705,0.37085268
707,0.4207587
709,0.38328367
711,0.41264778
713,0.37358654
716,0.37085268
719,0.37085268
721,0.37085268
722,0.37350592
723,0.37399018
724,0.37108666
727,0.37108666
728,0.37358654
729,0.37085268
733,0.37358654
736,0.37365258
739,0.37897506
742,0.4239193
743,0.37354264
744,0.37305093
745,0.4236215
747,0.37309566
749,0.3715089
750,0.37379938
751,0.37522355
752,0.37108666
755,0.37085268
756,0.37105003
762,0.37601748
763,0.37778446
764,0.37508982
765,0.37687606
766,0.37085268
769,0.3742396
770,0.384466
773,0.3714723
774,0.37869257
776,0.37593323
777,0.3736181
778,0.37305894
779,0.37358654
780,0.37085268
781,0.3753739
786,0.37897506
788,0.3714723
794,0.37442788
796,0.41614044
801,0.40420994
802,0.37682095
803,0.37305093
804,0.37085268
805,0.37095812
809,0.3796725
